run_id,seed,gait_id,gait_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,mean_vx_actual,mean_vy_actual,mean_wz_actual,mean_vx_error,mean_vy_error,mean_wz_error,mean_height,std_height,mean_roll,mean_pitch,mean_contact_frac,mean_contact_acc,mean_torque_norm,xy_drift_m,wall_time_s
31,1,3,amble,0.6000000238418579,0.20000000298023224,-0.5,True,1000,10.0,timeout,0.5199994980957773,0.011361874510378888,-0.3031726495424906,0.08031204849481582,0.18863812846985334,0.19729791667726304,0.32910079739199494,0.005233715414193305,0.017073508074168804,0.10951702147157985,0.6230555555555556,0.9563888888888888,20.33119380209181,3.4781060619978263,0.904
32,4,5,limp,0.30000001192092896,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.456089086400138,-0.06711348114016194,0.351420431552817,0.1620136304034127,0.13313602555855242,0.18216034119146773,0.3412608329400742,0.015817917024184083,0.07725699387649415,0.06162882408297459,0.5141666666666667,0.9313888888888889,25.36838726785448,2.656076652485611,0.879
33,4,5,limp,0.8999999761581421,0.0,0.5,True,1000,10.0,timeout,0.7418823935588201,-0.09562990301321204,0.4007706446573138,0.17555326932006413,0.09596808300049411,0.13152919234914912,0.3334095109416859,0.020075981615615718,0.08426971153420244,0.10002937504982665,0.5216666666666666,0.9355555555555556,26.014634877840678,3.4764101885239516,0.884
34,1,4,pronk,0.30000001192092896,0.0,-0.5,True,1000,10.0,timeout,0.4381163506116718,0.04155802282528441,-0.28946185147957293,0.17343963214196265,0.05174005868480947,0.21191541769905597,0.30225552467513517,0.06983017611303215,0.04377539868097689,0.19456427105891236,0.5384375,0.9103125,19.64063426464796,3.0916619550956344,0.878
35,3,3,amble,0.6000000238418579,0.20000000298023224,0.0,True,1000,10.0,timeout,0.5255741244554519,-0.00606624078639369,0.039216474942056975,0.07442589938640594,0.20606624376662594,0.09173328753958129,0.32923291177003716,0.004567525031816889,0.020442423733948636,0.11127145063835221,0.62,0.9488888888888889,20.201500855551824,5.116583417444086,0.905
36,1,7,run,0.8999999761581421,0.0,0.5,True,1000,10.0,timeout,0.7335646547211541,-0.08761361100607448,0.3909879754649268,0.16643532143698797,0.08761361100607448,0.12850755969683328,0.3365820440049515,0.005079135407332709,0.07266019736401502,0.06707207747044679,0.38472222222222224,0.8836111111111111,22.987013121710884,3.419092482141562,0.843
37,0,3,amble,0.0,-0.4000000059604645,0.0,True,1000,10.0,timeout,0.2660737446364429,-0.06994048366166276,0.022995727027818148,0.2660737446364429,0.3300595222988017,0.07573635136980253,0.3283293175292743,0.0025893961075437446,0.02914545058273183,0.09237993737194104,0.6263888888888889,0.9541666666666667,18.986777185863918,2.692456746109355,0.901
38,4,4,pronk,0.8999999761581421,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.7996070129424333,-0.08394612613004938,0.46961217556148765,0.1576942888647318,0.11605387685018285,0.06955219846218824,0.31556417092502725,0.06182202003369842,0.01960822243209569,0.18977547471038592,0.5140625,0.9365625,20.379728292524813,2.4634366727158294,0.866
39,4,3,amble,0.0,0.0,-0.25,True,1000,10.0,timeout,0.271065193100108,-0.020041301340162236,-0.1193562359828502,0.271065193100108,0.06820785084952756,0.13836031338717375,0.33089792526351414,0.0042005330103814095,0.029506767621667932,0.10278087328823861,0.6294444444444445,0.9572222222222222,18.851612666447956,2.5578268560130737,0.909
40,3,0,bound,1.2000000476837158,0.0,-0.5,True,1000,10.0,timeout,0.7646560433838102,0.001783626263544041,-0.39149978337731833,0.43974135206805337,0.02568578288264689,0.14586081765048828,0.34164767419472963,0.025363920073211272,0.011766201036683164,0.06454490312361774,0.43027777777777776,0.8713888888888889,27.49352229171329,3.4641497873676035,0.868
41,1,7,run,1.2000000476837158,0.0,-0.5,True,1000,10.0,timeout,0.875791843202379,0.014450478852575341,-0.36909572985437183,0.3242082044813368,0.017814269031704397,0.14738179034656948,0.3306000257478092,0.005641098236822594,0.050662441259866256,0.05116909007266212,0.3863888888888889,0.9019444444444444,23.512315953572593,4.625713594864017,0.854
42,2,2,hop,0.30000001192092896,-0.4000000059604645,0.5,True,1000,10.0,timeout,0.3862114720309482,-0.057332552875878344,0.36018784345182425,0.09396607078173581,0.3426674530845861,0.15693721963092686,0.31137689323974027,0.029735159678027336,0.04424847514858941,0.14647046262478824,0.48058823529411765,0.8888235294117647,23.151818309110755,2.2064849488540252,0.878
43,0,1,trot,0.8999999761581421,0.0,0.5,True,1000,10.0,timeout,0.658571250571145,-0.0616258436979519,0.3632281876231233,0.24142872558699713,0.0616258436979519,0.1601471808925271,0.33946398349402684,0.003563212714500625,0.058853800942115383,0.05934827480529328,0.4816666666666667,0.9316666666666666,22.14841286553277,3.5096935545912307,0.871
44,4,1,trot,0.0,0.4000000059604645,-0.5,True,1000,10.0,timeout,0.16643399564756287,-0.006470234736841071,-0.2810473751607868,0.16643399564756287,0.40647024069730553,0.21895262483921316,0.3469313177485359,0.0033717066532001102,0.024888179013270038,0.06007609502395539,0.5083333333333333,0.9405555555555556,19.961226569811505,1.2027533371952264,0.886
45,1,7,run,1.2000000476837158,-0.4000000059604645,0.5,True,1000,10.0,timeout,0.9123517460955514,-0.12999413731197515,0.4207085799343056,0.28764830158816446,0.2700058686484893,0.13066124831636747,0.33211807209179306,0.005354829153027229,0.09364067894216876,0.07765894084985278,0.375,0.8922222222222222,23.564456193712022,3.7276388796798954,0.839
46,0,3,amble,0.0,-0.4000000059604645,-0.25,True,1000,10.0,timeout,0.26495613427625764,-0.06792975517086032,-0.11530210821643576,0.26495613427625764,0.33207025078960417,0.1403744327808575,0.32837469054764573,0.0023672758526564583,0.03437290244198963,0.10142653608388998,0.635,0.9627777777777777,19.00844085905287,2.600725230030116,0.91
47,4,0,bound,1.2000000476837158,0.0,0.25,True,1000,10.0,timeout,0.6761912288599544,-0.061987535046490745,0.12117402815403895,0.5257106965449121,0.0667963148640835,0.15444638493740867,0.33694234847774623,0.0247132156265504,0.010993439989511999,0.083098485632279,0.4525,0.8452777777777778,26.425894747310213,6.287906326694872,0.872
48,1,4,pronk,0.0,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.34952536632306874,-0.014060833045145955,0.377529039895162,0.34952536632306874,0.18593916993508627,0.126038982803002,0.30206256448218194,0.07322969247462821,0.06593183446173338,0.18364963257237515,0.534375,0.9075,19.058741756677627,1.7712037500306261,0.869
49,1,2,hop,0.30000001192092896,0.20000000298023224,-0.25,True,1000,10.0,timeout,0.3026129091662519,0.006166715694786463,-0.119053387213084,0.042837784903890945,0.19383328728544577,0.14144776478341636,0.3127268980971173,0.02254703471591691,0.0639096341880972,0.11992862069153867,0.47441176470588237,0.8885294117647059,24.661873529097612,2.841304141073166,0.87
50,2,4,pronk,1.2000000476837158,0.0,0.5,True,1000,10.0,timeout,0.9676107274740935,-0.07401363951956227,0.4702018886990845,0.24384078539907933,0.07726119681547061,0.07900408340618015,0.319004492754583,0.058474587094556385,0.025819255907814958,0.19690794605370507,0.50625,0.95125,21.94527261137962,3.0422955542859746,0.895
51,3,7,run,0.0,0.0,-0.25,True,1000,10.0,timeout,0.27670476333962546,-0.10257071937356765,-0.15505360930153983,0.27670476333962546,0.1026879539162231,0.17166929666543082,0.33480948796444154,0.007981727811917779,0.012026551092255741,0.10987672732254052,0.3908333333333333,0.8458333333333333,21.176050329208373,2.623649690609424,0.878
52,2,1,trot,0.30000001192092896,0.0,-0.25,True,1000,10.0,timeout,0.3215297978785303,-0.038096126447457614,-0.17934050002074703,0.02643953028652403,0.03811037677197924,0.12215439082804853,0.3435870962586725,0.00380076628419165,0.03806871072230899,0.06418629919129491,0.5108333333333334,0.9391666666666667,20.642697786755033,2.8028621965876432,0.884
53,2,5,limp,0.30000001192092896,0.20000000298023224,0.25,True,1000,10.0,timeout,0.4384567932618989,0.01263404291307476,0.22493415376863493,0.151808683110608,0.18736596006715747,0.10888930226708504,0.34387110884085764,0.01643745293271987,0.07321577733140981,0.050397293983199205,0.5138888888888888,0.9316666666666666,25.004722702238293,3.4601294828757387,0.882
54,2,1,trot,0.0,0.20000000298023224,-0.5,True,1000,10.0,timeout,0.159872792288661,-0.030189040725623877,-0.28841615580022334,0.159872792288661,0.2301890437058561,0.21158384419977666,0.3468498487706366,0.0034973451530509515,0.029381433104652358,0.0539731500742657,0.5091666666666667,0.9386111111111111,20.151473155021666,1.1508841502720524,0.899
55,0,0,bound,0.30000001192092896,0.20000000298023224,0.0,True,1000,10.0,timeout,0.32472957101204275,0.011111545214751257,-0.0026065780953245443,0.19866761684346582,0.188888457765481,0.061065980581592565,0.3461597669352951,0.014756356422712167,0.013676894261300912,0.0525861068264591,0.43166666666666664,0.9072222222222223,27.12315529558394,3.225247774822447,0.855
56,0,1,trot,0.30000001192092896,0.4000000059604645,0.5,True,1000,10.0,timeout,0.38212230761845906,-0.007508468142489922,0.3031761681391961,0.08212229569753011,0.4075084741029544,0.20224591142394477,0.34516515849662005,0.004116856827525707,0.04099350114491516,0.07756469407764315,0.5066666666666667,0.9322222222222222,20.03107662518819,2.460088312130763,0.868
57,2,5,limp,0.0,-0.20000000298023224,0.25,True,1000,10.0,timeout,0.27592326697583,-0.013839276973812199,0.16603527052728978,0.27592326697583,0.18616072600642003,0.12657216704360003,0.3477886925790485,0.013452951817590559,0.07858529980539967,0.02892397511364329,0.5155555555555555,0.9244444444444444,24.832798744837444,2.4608225619662867,0.883
58,0,0,bound,0.6000000238418579,0.0,0.0,True,1000,10.0,timeout,0.4561451214293225,-0.030571860131308817,-0.017639865751399256,0.2237253909237269,0.03672843168760866,0.10196586668644159,0.3417529662308089,0.020214165294403605,0.015061643866500964,0.06863325188821544,0.4469444444444444,0.8741666666666666,26.54412960264418,4.520036021900574,0.87
